Zaman,Tip,Yas Grubu
2026-08-06 14:51:44,Giris,Bilinmiyor
2026-08-06 14:51:44,Cikis,Bilinmiyor
2026-08-06 14:51:44,Giris,Bilinmiyor
2026-08-06 14:51:44,Cikis,Bilinmiyor
2026-08-06 14:51:45,Giris,Bilinmiyor
2026-08-06 14:51:45,Cikis,Bilinmiyor
2026-08-06 14:51:46,Giris,Bilinmiyor
2026-08-06 14:51:46,Cikis,Bilinmiyor
2026-08-06 14:51:46,Giris,Bilinmiyor
2026-08-06 14:51:50,Cikis,Bilinmiyor
2026-08-06 14:51:50,Giris,Bilinmiyor
2026-08-06 14:51:50,Cikis,Bilinmiyor
2026-08-06 14:51:50,Giris,Bilinmiyor
2026-08-06 14:51:50,Cikis,Bilinmiyor
2026-08-06 14:51:51,Giris,Bilinmiyor
2026-08-06 14:51:51,Cikis,Bilinmiyor
2026-08-06 14:52:08,Giris,Bilinmiyor
2026-08-06 14:52:09,Cikis,Bilinmiyor
2026-08-06 14:52:09,Giris,Bilinmiyor
2026-08-06 14:52:09,Cikis,Bilinmiyor
2026-08-06 14:52:10,Giris,Bilinmiyor
2026-08-06 14:52:10,Cikis,Bilinmiyor
2026-08-06 14:52:10,Giris,Bilinmiyor
2026-08-06 14:52:10,Cikis,Bilinmiyor
2026-08-06 14:52:10,Giris,Bilinmiyor
2026-08-06 14:52:10,Cikis,Bilinmiyor
2026-08-06 14:52:10,Giris,Bilinmiyor

ÖZET
Toplam Giris,14
Toplam Cikis,13
Cocuk - Giris,0
Cocuk - Cikis,0
Genc - Giris,0
Genc - Cikis,0
Yetiskin - Giris,0
Yetiskin - Cikis,0
Yasli - Giris,0
Yasli - Cikis,0
Bilinmiyor - Giris,14
Bilinmiyor - Cikis,13
