Zaman,Tip,Yas Grubu
2026-08-06 10:03:44,Giris,Bilinmiyor
2026-08-06 10:03:46,Cikis,Yetiskin
2026-08-06 10:04:43,Giris,Yetiskin
2026-08-06 10:04:46,Cikis,Bilinmiyor
2026-08-06 10:04:51,Giris,Bilinmiyor
2026-08-06 10:05:08,Giris,Bilinmiyor
2026-08-06 10:05:27,Cikis,Bilinmiyor
2026-08-06 10:05:32,Giris,Bilinmiyor
2026-08-06 10:05:36,Cikis,Bilinmiyor
2026-08-06 10:05:49,Cikis,Bilinmiyor
2026-08-06 10:05:57,Giris,Bilinmiyor
2026-08-06 10:06:07,Cikis,Bilinmiyor
2026-08-06 10:06:08,Giris,Bilinmiyor
2026-08-06 10:10:47,Giris,Bilinmiyor
2026-08-06 10:11:27,Cikis,Bilinmiyor
2026-08-06 10:11:33,Giris,Bilinmiyor
2026-08-06 10:11:34,Cikis,Bilinmiyor
2026-08-06 10:11:35,Giris,Bilinmiyor
2026-08-06 10:11:36,Cikis,Bilinmiyor
2026-08-06 10:11:38,Giris,Bilinmiyor
2026-08-06 10:11:39,Cikis,Bilinmiyor
2026-08-06 10:11:39,Giris,Bilinmiyor
2026-08-06 10:11:41,Cikis,Bilinmiyor
2026-08-06 10:12:10,Cikis,Bilinmiyor

ÖZET
Toplam Giris,12
Toplam Cikis,12
Cocuk - Giris,0
Cocuk - Cikis,0
Genc - Giris,0
Genc - Cikis,0
Yetiskin - Giris,1
Yetiskin - Cikis,1
Yasli - Giris,0
Yasli - Cikis,0
Bilinmiyor - Giris,11
Bilinmiyor - Cikis,11
