Zaman,Tip,Yas Grubu
2026-08-06 09:47:53,Cikis,Yetiskin
2026-08-06 09:47:53,Giris,Yetiskin
2026-08-06 09:47:53,Cikis,Yetiskin
2026-08-06 09:47:53,Giris,Yetiskin
2026-08-06 09:47:54,Cikis,Yetiskin
2026-08-06 09:47:54,Giris,Yetiskin
2026-08-06 09:47:54,Cikis,Yetiskin
2026-08-06 09:47:54,Giris,Yetiskin
2026-08-06 09:47:54,Cikis,Yetiskin
2026-08-06 09:47:54,Giris,Yetiskin
2026-08-06 09:47:54,Cikis,Yetiskin
2026-08-06 09:47:54,Giris,Yetiskin
2026-08-06 09:47:55,Cikis,Yetiskin
2026-08-06 09:47:55,Giris,Yetiskin
2026-08-06 09:47:55,Cikis,Yetiskin
2026-08-06 09:47:55,Giris,Yetiskin
2026-08-06 09:47:55,Cikis,Yetiskin
2026-08-06 09:47:55,Giris,Yetiskin
2026-08-06 09:47:56,Cikis,Yetiskin
2026-08-06 09:47:56,Giris,Yetiskin
2026-08-06 09:47:56,Cikis,Yetiskin
2026-08-06 09:47:56,Giris,Yetiskin
2026-08-06 09:47:56,Cikis,Yetiskin
2026-08-06 09:47:56,Giris,Yetiskin
2026-08-06 09:47:56,Cikis,Yetiskin
2026-08-06 09:47:57,Giris,Yetiskin
2026-08-06 09:47:57,Cikis,Yetiskin
2026-08-06 09:47:57,Giris,Yetiskin
2026-08-06 09:47:57,Cikis,Yetiskin
2026-08-06 09:47:57,Giris,Yetiskin
2026-08-06 09:47:58,Cikis,Yetiskin
2026-08-06 09:47:58,Giris,Yetiskin
2026-08-06 09:47:58,Cikis,Yetiskin
2026-08-06 09:47:58,Giris,Yetiskin
2026-08-06 09:47:58,Cikis,Yetiskin
2026-08-06 09:47:58,Giris,Yetiskin
2026-08-06 09:47:58,Cikis,Yetiskin
2026-08-06 09:47:58,Giris,Yetiskin
2026-08-06 09:47:58,Cikis,Yetiskin
2026-08-06 09:47:59,Giris,Yetiskin
2026-08-06 09:47:59,Cikis,Yetiskin
2026-08-06 09:47:59,Giris,Yetiskin
2026-08-06 09:47:59,Cikis,Yetiskin
2026-08-06 09:47:59,Giris,Yetiskin
2026-08-06 09:47:59,Cikis,Yetiskin
2026-08-06 09:48:00,Giris,Yetiskin
2026-08-06 09:48:00,Cikis,Yetiskin
2026-08-06 09:48:06,Giris,Yetiskin
2026-08-06 09:48:06,Cikis,Yetiskin
2026-08-06 09:48:09,Giris,Yetiskin
2026-08-06 09:48:11,Cikis,Yetiskin
2026-08-06 09:48:13,Giris,Yetiskin
2026-08-06 09:48:14,Cikis,Yetiskin
2026-08-06 09:48:33,Cikis,Yetiskin
2026-08-06 09:48:37,Giris,Yetiskin
2026-08-06 09:48:41,Cikis,Yetiskin
2026-08-06 09:48:44,Giris,Yetiskin

ÖZET
Toplam Giris,28
Toplam Cikis,29
Cocuk - Giris,0
Cocuk - Cikis,0
Genc - Giris,0
Genc - Cikis,0
Yetiskin - Giris,28
Yetiskin - Cikis,29
Yasli - Giris,0
Yasli - Cikis,0
Bilinmiyor - Giris,0
Bilinmiyor - Cikis,0
