Zaman,Tip,Yas Grubu
2026-08-06 09:54:33,Giris,Bilinmiyor
2026-08-06 09:54:34,Cikis,Bilinmiyor
2026-08-06 09:54:35,Giris,Bilinmiyor
2026-08-06 09:54:35,Cikis,Bilinmiyor
2026-08-06 09:54:35,Giris,Bilinmiyor
2026-08-06 09:54:35,Cikis,Bilinmiyor
2026-08-06 09:54:36,Giris,Bilinmiyor
2026-08-06 09:54:36,Cikis,Bilinmiyor
2026-08-06 09:54:41,Cikis,Yetiskin
2026-08-06 09:54:41,Giris,Yetiskin
2026-08-06 09:54:42,Cikis,Yetiskin
2026-08-06 09:54:42,Giris,Yetiskin
2026-08-06 09:54:43,Cikis,Yetiskin
2026-08-06 09:54:47,Giris,Yetiskin
2026-08-06 09:54:47,Cikis,Yetiskin
2026-08-06 09:54:48,Giris,Yetiskin
2026-08-06 09:54:55,Cikis,Bilinmiyor
2026-08-06 09:54:59,Giris,Bilinmiyor
2026-08-06 09:55:23,Cikis,Bilinmiyor

ÖZET
Toplam Giris,9
Toplam Cikis,10
Cocuk - Giris,0
Cocuk - Cikis,0
Genc - Giris,0
Genc - Cikis,0
Yetiskin - Giris,4
Yetiskin - Cikis,4
Yasli - Giris,0
Yasli - Cikis,0
Bilinmiyor - Giris,5
Bilinmiyor - Cikis,6
